onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 4.073	Filler	0	0	 0.000
 4.073	 0.736	ISI	0	0	 0.000
 4.809	 0.354	croix	0	0	 0.000
 5.163	 0.669	Noir	0	0	 0.000
 5.832	 0.689	complex	1	0	 2147483.647
 6.521	 0.602	ISI	0	0	 0.000
 7.123	 0.354	croix	0	0	 0.000
 7.477	 0.669	Noir	0	0	 0.000
 8.146	 0.689	pseudocomplex	1	0	 2147483.647
 8.835	 0.535	ISI	0	0	 0.000
 9.370	 0.335	croix	0	0	 0.000
 9.705	 0.688	Noir	0	0	 0.000
 10.393	 0.689	H	0	0	 0.000
 11.082	 0.669	ISI	0	0	 0.000
 11.751	 0.335	croix	0	0	 0.000
 12.086	 0.689	Noir	0	0	 0.000
 12.775	 0.689	pseudocomplex	1	0	 2147483.647
 13.464	 0.869	ISI	0	0	 0.000
 14.333	 0.355	croix	0	0	 0.000
 14.688	 0.668	Noir	0	0	 0.000
 15.356	 0.690	pseudocomplex	1	0	 2147483.647
 16.046	 0.602	ISI	0	0	 0.000
 16.648	 0.335	croix	0	0	 0.000
 16.983	 0.688	Noir	0	0	 0.000
 17.671	 0.689	complex	1	0	 2147483.647
 18.360	 0.602	ISI	0	0	 0.000
 18.962	 0.335	croix	0	0	 0.000
 19.297	 0.689	Noir	0	0	 0.000
 19.986	 0.668	pseudocomplex	1	0	 2147483.647
 20.654	 0.689	ISI	0	0	 0.000
 21.343	 0.335	croix	0	0	 0.000
 21.678	 0.689	Noir	0	0	 0.000
 22.367	 0.669	H	0	0	 0.000
 23.036	 0.688	ISI	0	0	 0.000
 23.724	 0.335	croix	0	0	 0.000
 24.059	 0.689	Noir	0	0	 0.000
 24.748	 0.669	complex	1	0	 2147483.647
 25.417	 0.755	ISI	0	0	 0.000
 26.172	 0.335	croix	0	0	 0.000
 26.507	 0.689	Noir	0	0	 0.000
 27.196	 0.669	pseudocomplex	1	0	 2147483.647
 27.865	 0.622	ISI	0	0	 0.000
 28.487	 0.334	croix	0	0	 0.000
 28.821	 0.689	Noir	0	0	 0.000
 29.510	 0.669	H	0	0	 0.000
 30.179	 0.555	ISI	0	0	 0.000
 30.734	 0.334	croix	0	0	 0.000
 31.068	 0.669	Noir	0	0	 0.000
 31.737	 0.689	pseudocomplex	1	0	 2147483.647
 32.426	 0.622	ISI	0	0	 0.000
 33.048	 0.336	croix	0	0	 0.000
 33.384	 0.668	Noir	0	0	 0.000
 34.052	 0.689	pseudocomplex	1	0	 2147483.647
 34.741	 1.024	ISI	0	0	 0.000
 35.765	 0.334	croix	0	0	 0.000
 36.099	 0.689	Noir	0	0	 0.000
 36.788	 0.669	complex	1	0	 2147483.647
 37.457	 0.622	ISI	0	0	 0.000
 38.079	 0.334	croix	0	0	 0.000
 38.413	 0.669	Noir	0	0	 0.000
 39.082	 0.689	complex	1	0	 2147483.647
 39.771	 0.823	ISI	0	0	 0.000
 40.594	 0.334	croix	0	0	 0.000
 40.928	 0.689	Noir	0	0	 0.000
 41.617	 0.669	H	0	0	 0.000
 42.286	 0.555	ISI	0	0	 0.000
 42.841	 0.334	croix	0	0	 0.000
 43.175	 0.669	Noir	0	0	 0.000
 43.844	 0.689	pseudocomplex	1	0	 2147483.647
 44.533	 0.602	ISI	0	0	 0.000
 45.135	 0.355	croix	0	0	 0.000
 45.490	 0.668	Noir	0	0	 0.000
 46.158	 0.689	H	0	0	 0.000
 46.847	 0.602	ISI	0	0	 0.000
 47.449	 0.355	croix	0	0	 0.000
 47.804	 0.669	Noir	0	0	 0.000
 48.473	 0.688	pseudocomplex	1	0	 2147483.647
 49.161	 0.669	ISI	0	0	 0.000
 49.830	 0.355	croix	0	0	 0.000
 50.185	 0.670	Noir	0	0	 0.000
 50.855	 0.689	complex	1	0	 2147483.647
 51.544	 0.535	ISI	0	0	 0.000
 52.079	 0.334	croix	0	0	 0.000
 52.413	 0.689	Noir	0	0	 0.000
 53.102	 0.669	complex	1	0	 2147483.647
 53.771	 0.689	ISI	0	0	 0.000
 54.460	 0.334	croix	0	0	 0.000
 54.794	 0.689	Noir	0	0	 0.000
 55.483	 0.669	pseudocomplex	1	0	 2147483.647
 56.152	 0.622	ISI	0	0	 0.000
 56.774	 0.334	croix	0	0	 0.000
 57.108	 0.689	Noir	0	0	 0.000
 57.797	 0.669	complex	1	0	 2147483.647
 58.466	 0.890	ISI	0	0	 0.000
 59.356	 0.334	croix	0	0	 0.000
 59.690	 0.689	Noir	0	0	 0.000
 60.379	 0.669	H	0	0	 0.000
 61.048	 0.756	ISI	0	0	 0.000
 61.804	 0.334	croix	0	0	 0.000
 62.138	 0.689	Noir	0	0	 0.000
 62.827	 0.669	pseudocomplex	1	0	 2147483.647
 63.496	 0.555	ISI	0	0	 0.000
 64.051	 0.334	croix	0	0	 0.000
 64.385	 0.689	Noir	0	0	 0.000
 65.074	 0.669	complex	1	0	 2147483.647
 65.743	 0.689	ISI	0	0	 0.000
 66.432	 0.334	croix	0	0	 0.000
 66.766	 0.689	Noir	0	0	 0.000
 67.455	 0.670	H	0	0	 0.000
 68.125	 0.823	ISI	0	0	 0.000
 68.948	 0.334	croix	0	0	 0.000
 69.282	 0.689	Noir	0	0	 0.000
 69.971	 0.669	complex	1	0	 2147483.647
 70.640	 0.756	ISI	0	0	 0.000
 71.396	 0.334	croix	0	0	 0.000
 71.730	 0.689	Noir	0	0	 0.000
 72.419	 0.669	complex	1	0	 2147483.647
 73.088	 0.622	ISI	0	0	 0.000
 73.710	 0.334	croix	0	0	 0.000
 74.044	 0.689	Noir	0	0	 0.000
 74.733	 0.669	pseudocomplex	1	0	 2147483.647
 75.402	 0.689	ISI	0	0	 0.000
 76.091	 0.334	croix	0	0	 0.000
 76.425	 0.689	Noir	0	0	 0.000
 77.114	 0.669	pseudocomplex	1	0	 2147483.647
 77.783	 0.622	ISI	0	0	 0.000
 78.405	 0.335	croix	0	0	 0.000
 78.740	 0.668	Noir	0	0	 0.000
 79.408	 0.689	complex	1	0	 2147483.647
 80.097	 0.689	ISI	0	0	 0.000
 80.786	 0.335	croix	0	0	 0.000
 81.121	 0.668	Noir	0	0	 0.000
