onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 4.073	Filler	0	0	 0.000
 4.073	 0.669	ISI	0	0	 0.000
 4.742	 0.354	Croix	0	0	 0.000
 5.096	 0.669	Noir	0	0	 0.000
 5.765	 0.689	pseudocomplex	1	0	 2147483.647
 6.454	 0.737	ISI	0	0	 0.000
 7.191	 0.354	croix	0	0	 0.000
 7.545	 0.669	Noir	0	0	 0.000
 8.214	 0.689	H	0	0	 0.000
 8.903	 0.602	ISI	0	0	 0.000
 9.505	 0.355	croix	0	0	 0.000
 9.860	 0.668	Noir	0	0	 0.000
 10.528	 0.689	complex	1	0	 2147483.647
 11.217	 0.602	ISI	0	0	 0.000
 11.819	 0.335	croix	0	0	 0.000
 12.154	 0.688	Noir	0	0	 0.000
 12.842	 0.689	complex	1	0	 2147483.647
 13.531	 0.870	ISI	0	0	 0.000
 14.401	 0.354	croix	0	0	 0.000
 14.755	 0.669	Noir	0	0	 0.000
 15.424	 0.689	complex	1	0	 2147483.647
 16.113	 0.736	ISI	0	0	 0.000
 16.849	 0.354	croix	0	0	 0.000
 17.203	 0.669	Noir	0	0	 0.000
 17.872	 0.689	H	0	0	 0.000
 18.561	 0.602	ISI	0	0	 0.000
 19.163	 0.334	croix	0	0	 0.000
 19.497	 0.689	Noir	0	0	 0.000
 20.186	 0.689	pseudocomplex	1	0	 2147483.647
 20.875	 0.602	ISI	0	0	 0.000
 21.477	 0.335	croix	0	0	 0.000
 21.812	 0.689	Noir	0	0	 0.000
 22.501	 0.668	complex	1	0	 2147483.647
 23.169	 0.555	ISI	0	0	 0.000
 23.724	 0.335	croix	0	0	 0.000
 24.059	 0.690	Noir	0	0	 0.000
 24.749	 0.669	H	0	0	 0.000
 25.418	 0.622	ISI	0	0	 0.000
 26.040	 0.334	croix	0	0	 0.000
 26.374	 0.689	Noir	0	0	 0.000
 27.063	 0.669	complex	1	0	 2147483.647
 27.732	 0.756	ISI	0	0	 0.000
 28.488	 0.334	croix	0	0	 0.000
 28.822	 0.689	Noir	0	0	 0.000
 29.511	 0.669	pseudocomplex	1	0	 2147483.647
 30.180	 0.956	ISI	0	0	 0.000
 31.136	 0.335	croix	0	0	 0.000
 31.471	 0.689	Noir	0	0	 0.000
 32.160	 0.668	pseudocomplex	1	0	 2147483.647
 32.828	 0.756	ISI	0	0	 0.000
 33.584	 0.335	croix	0	0	 0.000
 33.919	 0.689	Noir	0	0	 0.000
 34.608	 0.668	complex	1	0	 2147483.647
 35.276	 0.555	ISI	0	0	 0.000
 35.831	 0.335	croix	0	0	 0.000
 36.166	 0.689	Noir	0	0	 0.000
 36.855	 0.669	H	0	0	 0.000
 37.524	 0.755	ISI	0	0	 0.000
 38.279	 0.335	croix	0	0	 0.000
 38.614	 0.689	Noir	0	0	 0.000
 39.303	 0.669	complex	1	0	 2147483.647
 39.972	 0.822	ISI	0	0	 0.000
 40.794	 0.335	croix	0	0	 0.000
 41.129	 0.690	Noir	0	0	 0.000
 41.819	 0.668	pseudocomplex	1	0	 2147483.647
 42.487	 0.556	ISI	0	0	 0.000
 43.043	 0.334	croix	0	0	 0.000
 43.377	 0.689	Noir	0	0	 0.000
 44.066	 0.669	H	0	0	 0.000
 44.735	 0.689	ISI	0	0	 0.000
 45.424	 0.334	croix	0	0	 0.000
 45.758	 0.669	Noir	0	0	 0.000
 46.427	 0.689	pseudocomplex	1	0	 2147483.647
 47.116	 0.535	ISI	0	0	 0.000
 47.651	 0.354	croix	0	0	 0.000
 48.005	 0.669	Noir	0	0	 0.000
 48.674	 0.689	complex	1	0	 2147483.647
 49.363	 0.602	ISI	0	0	 0.000
 49.965	 0.355	croix	0	0	 0.000
 50.320	 0.668	Noir	0	0	 0.000
 50.988	 0.689	complex	1	0	 2147483.647
 51.677	 0.602	ISI	0	0	 0.000
 52.279	 0.355	croix	0	0	 0.000
 52.634	 0.669	Noir	0	0	 0.000
 53.303	 0.689	pseudocomplex	1	0	 2147483.647
 53.992	 0.601	ISI	0	0	 0.000
 54.593	 0.335	croix	0	0	 0.000
 54.928	 0.689	Noir	0	0	 0.000
 55.617	 0.689	complex	1	0	 2147483.647
 56.306	 0.535	ISI	0	0	 0.000
 56.841	 0.334	croix	0	0	 0.000
 57.175	 0.689	Noir	0	0	 0.000
 57.864	 0.669	H	0	0	 0.000
 58.533	 0.757	ISI	0	0	 0.000
 59.290	 0.334	croix	0	0	 0.000
 59.624	 0.689	Noir	0	0	 0.000
 60.313	 0.669	complex	1	0	 2147483.647
 60.982	 0.622	ISI	0	0	 0.000
 61.604	 0.334	croix	0	0	 0.000
 61.938	 0.689	Noir	0	0	 0.000
 62.627	 0.669	H	0	0	 0.000
 63.296	 0.689	ISI	0	0	 0.000
 63.985	 0.334	croix	0	0	 0.000
 64.319	 0.689	Noir	0	0	 0.000
 65.008	 0.669	complex	1	0	 2147483.647
 65.677	 0.823	ISI	0	0	 0.000
 66.500	 0.334	croix	0	0	 0.000
 66.834	 0.689	Noir	0	0	 0.000
 67.523	 0.669	pseudocomplex	1	0	 2147483.647
 68.192	 0.555	ISI	0	0	 0.000
 68.747	 0.335	croix	0	0	 0.000
 69.082	 0.688	Noir	0	0	 0.000
 69.770	 0.669	complex	1	0	 2147483.647
 70.439	 0.756	ISI	0	0	 0.000
 71.195	 0.334	croix	0	0	 0.000
 71.529	 0.689	Noir	0	0	 0.000
 72.218	 0.669	pseudocomplex	1	0	 2147483.647
 72.887	 0.823	ISI	0	0	 0.000
 73.710	 0.334	croix	0	0	 0.000
 74.044	 0.689	Noir	0	0	 0.000
 74.733	 0.669	complex	1	0	 2147483.647
 75.402	 0.622	ISI	0	0	 0.000
 76.024	 0.335	croix	0	0	 0.000
 76.359	 0.669	Noir	0	0	 0.000
 77.028	 0.689	H	0	0	 0.000
 77.717	 0.535	ISI	0	0	 0.000
 78.252	 0.355	croix	0	0	 0.000
 78.607	 0.669	Noir	0	0	 0.000
 79.276	 0.689	complex	1	0	 2147483.647
 79.965	 0.535	ISI	0	0	 0.000
 80.500	 0.354	croix	0	0	 0.000
 80.854	 0.669	Noir	0	0	 0.000
 81.523	 0.689	pseudocomplex	1	0	 2147483.647
 82.212	 0.602	ISI	0	0	 0.000
 82.814	 0.334	croix	0	0	 0.000
 83.148	 0.689	Noir	0	0	 0.000
 83.837	 0.689	H	0	0	 0.000
 84.526	 0.869	ISI	0	0	 0.000
 85.395	 0.355	croix	0	0	 0.000
 85.750	 0.669	Noir	0	0	 0.000
 86.419	 0.689	pseudocomplex	1	0	 2147483.647
 87.108	 0.602	ISI	0	0	 0.000
 87.710	 0.334	croix	0	0	 0.000
 88.044	 0.689	Noir	0	0	 0.000
 88.733	 0.689	H	0	0	 0.000
 89.422	 0.669	ISI	0	0	 0.000
 90.091	 0.334	croix	0	0	 0.000
 90.425	 0.689	Noir	0	0	 0.000
 91.114	 0.689	complex	1	0	 2147483.647
 91.803	 0.736	ISI	0	0	 0.000
 92.539	 0.334	croix	0	0	 0.000
 92.873	 0.689	Noir	0	0	 0.000
 93.562	 0.690	pseudocomplex	1	0	 2147483.647
 94.252	 0.535	ISI	0	0	 0.000
 94.787	 0.334	croix	0	0	 0.000
 95.121	 0.689	Noir	0	0	 0.000
 95.810	 0.669	complex	1	0	 2147483.647
 96.479	 1.157	ISI	0	0	 0.000
 97.636	 0.355	croix	0	0	 0.000
 97.991	 0.669	Noir	0	0	 0.000
 98.660	 0.689	pseudocomplex	1	0	 2147483.647
 99.349	 0.936	ISI	0	0	 0.000
 100.285	 0.354	croix	0	0	 0.000
 100.639	 0.669	Noir	0	0	 0.000
 101.308	 0.689	pseudocomplex	1	0	 2147483.647
 101.997	 0.602	ISI	0	0	 0.000
 102.599	 0.355	croix	0	0	 0.000
 102.954	 0.668	Noir	0	0	 0.000
 103.622	 0.689	pseudocomplex	1	0	 2147483.647
 104.311	 1.692	ISI	0	0	 0.000
 106.003	 0.335	croix	0	0	 0.000
 106.338	 0.689	Noir	0	0	 0.000
 107.027	 0.689	H	0	0	 0.000
 107.716	 0.869	ISI	0	0	 0.000
 108.585	 0.355	croix	0	0	 0.000
 108.940	 0.669	Noir	0	0	 0.000
 109.609	 0.688	pseudocomplex	1	0	 2147483.647
 110.297	 0.669	ISI	0	0	 0.000
 110.966	 0.335	croix	0	0	 0.000
 111.301	 0.690	Noir	0	0	 0.000
 111.991	 0.689	pseudocomplex	1	0	 2147483.647
 112.680	 0.601	ISI	0	0	 0.000
 113.281	 0.335	croix	0	0	 0.000
 113.616	 0.689	Noir	0	0	 0.000
 114.305	 0.669	pseudocomplex	1	0	 2147483.647
 114.974	 0.555	ISI	0	0	 0.000
 115.529	 0.334	croix	0	0	 0.000
 115.863	 0.689	Noir	0	0	 0.000
 116.552	 0.669	H	0	0	 0.000
 117.221	 0.756	ISI	0	0	 0.000
 117.977	 0.334	croix	0	0	 0.000
 118.311	 0.689	Noir	0	0	 0.000
 119.000	 0.669	pseudocomplex	1	0	 2147483.647
 119.669	 1.291	ISI	0	0	 0.000
 120.960	 0.354	croix	0	0	 0.000
 121.314	 0.669	Noir	0	0	 0.000
 121.983	 0.689	complex	1	0	 2147483.647
 122.672	 0.736	ISI	0	0	 0.000
 123.408	 0.354	croix	0	0	 0.000
 123.762	 0.669	Noir	0	0	 0.000
 124.431	 0.689	pseudocomplex	1	0	 2147483.647
 125.120	 0.736	ISI	0	0	 0.000
 125.856	 0.354	croix	0	0	 0.000
 126.210	 0.669	Noir	0	0	 0.000
 126.879	 0.689	complex	1	0	 2147483.647
 127.568	 0.535	ISI	0	0	 0.000
 128.103	 0.334	croix	0	0	 0.000
 128.437	 0.690	Noir	0	0	 0.000
 129.127	 0.689	H	0	0	 0.000
 129.816	 0.669	ISI	0	0	 0.000
 130.485	 0.334	croix	0	0	 0.000
 130.819	 0.689	Noir	0	0	 0.000
 131.508	 0.689	pseudocomplex	1	0	 2147483.647
 132.197	 0.803	ISI	0	0	 0.000
 133.000	 0.334	croix	0	0	 0.000
 133.334	 0.689	Noir	0	0	 0.000
 134.023	 0.689	complex	1	0	 2147483.647
 134.712	 0.602	ISI	0	0	 0.000
 135.314	 0.334	croix	0	0	 0.000
 135.648	 0.689	Noir	0	0	 0.000
 136.337	 0.669	H	0	0	 0.000
 137.006	 0.555	ISI	0	0	 0.000
 137.561	 0.335	croix	0	0	 0.000
 137.896	 0.689	Noir	0	0	 0.000
 138.585	 0.668	pseudocomplex	1	0	 2147483.647
 139.253	 0.623	ISI	0	0	 0.000
 139.876	 0.334	croix	0	0	 0.000
 140.210	 0.689	Noir	0	0	 0.000
 140.899	 0.669	complex	1	0	 2147483.647
 141.568	 0.889	ISI	0	0	 0.000
 142.457	 0.335	croix	0	0	 0.000
 142.792	 0.689	Noir	0	0	 0.000
 143.481	 0.668	pseudocomplex	1	0	 2147483.647
 144.149	 0.689	ISI	0	0	 0.000
 144.838	 0.335	croix	0	0	 0.000
 145.173	 0.689	Noir	0	0	 0.000
 145.862	 0.669	H	0	0	 0.000
 146.531	 0.689	ISI	0	0	 0.000
 147.220	 0.335	croix	0	0	 0.000
 147.555	 0.689	Noir	0	0	 0.000
 148.244	 0.669	pseudocomplex	1	0	 2147483.647
 148.913	 0.755	ISI	0	0	 0.000
 149.668	 0.335	croix	0	0	 0.000
 150.003	 0.689	Noir	0	0	 0.000
 150.692	 0.668	complex	1	0	 2147483.647
 151.360	 0.756	ISI	0	0	 0.000
 152.116	 0.335	croix	0	0	 0.000
 152.451	 0.689	Noir	0	0	 0.000
 153.140	 0.668	complex	1	0	 2147483.647
 153.808	 0.623	ISI	0	0	 0.000
 154.431	 0.334	croix	0	0	 0.000
 154.765	 0.689	Noir	0	0	 0.000
 155.454	 0.669	H	0	0	 0.000
 156.123	 0.622	ISI	0	0	 0.000
 156.745	 0.334	croix	0	0	 0.000
 157.079	 0.669	Noir	0	0	 0.000
 157.748	 0.689	pseudocomplex	1	0	 2147483.647
 158.437	 0.689	ISI	0	0	 0.000
 159.126	 0.334	croix	0	0	 0.000
 159.460	 0.669	Noir	0	0	 0.000
 160.129	 0.689	pseudocomplex	1	0	 2147483.647
 160.818	 0.669	ISI	0	0	 0.000
 161.487	 0.354	croix	0	0	 0.000
 161.841	 0.669	Noir	0	0	 0.000
 162.510	 0.689	complex	1	0	 2147483.647
 163.199	 0.602	ISI	0	0	 0.000
 163.801	 0.355	croix	0	0	 0.000
 164.156	 0.669	Noir	0	0	 0.000
 164.825	 0.689	complex	1	0	 2147483.647
 165.514	 0.535	ISI	0	0	 0.000
 166.049	 0.335	croix	0	0	 0.000
 166.384	 0.689	Noir	0	0	 0.000
 167.073	 0.689	H	0	0	 0.000
 167.762	 0.535	ISI	0	0	 0.000
 168.297	 0.334	croix	0	0	 0.000
 168.631	 0.689	Noir	0	0	 0.000
 169.320	 0.669	pseudocomplex	1	0	 2147483.647
 169.989	 0.622	ISI	0	0	 0.000
 170.611	 0.334	croix	0	0	 0.000
 170.945	 0.689	Noir	0	0	 0.000
 171.634	 0.669	H	0	0	 0.000
 172.303	 0.622	ISI	0	0	 0.000
 172.925	 0.334	croix	0	0	 0.000
 173.259	 0.689	Noir	0	0	 0.000
 173.948	 0.669	pseudocomplex	1	0	 2147483.647
 174.617	 0.622	ISI	0	0	 0.000
 175.239	 0.335	croix	0	0	 0.000
 175.574	 0.688	Noir	0	0	 0.000
 176.262	 0.669	pseudocomplex	1	0	 2147483.647
 176.931	 0.555	ISI	0	0	 0.000
 177.486	 0.335	croix	0	0	 0.000
 177.821	 0.669	Noir	0	0	 0.000
 178.490	 0.689	pseudocomplex	1	0	 2147483.647
 179.179	 0.822	ISI	0	0	 0.000
 180.001	 0.335	croix	0	0	 0.000
 180.336	 0.668	Noir	0	0	 0.000
 181.004	 0.690	pseudocomplex	1	0	 2147483.647
 181.694	 0.602	ISI	0	0	 0.000
 182.296	 0.355	croix	0	0	 0.000
 182.651	 0.669	Noir	0	0	 0.000
 183.320	 0.689	H	0	0	 0.000
 184.009	 0.668	ISI	0	0	 0.000
 184.677	 0.355	croix	0	0	 0.000
 185.032	 0.669	Noir	0	0	 0.000
 185.701	 0.689	pseudocomplex	1	0	 2147483.647
 186.390	 0.735	ISI	0	0	 0.000
 187.125	 0.355	croix	0	0	 0.000
 187.480	 0.669	Noir	0	0	 0.000
 188.149	 0.689	complex	1	0	 2147483.647
 188.838	 0.602	ISI	0	0	 0.000
 189.440	 0.354	croix	0	0	 0.000
 189.794	 0.669	Noir	0	0	 0.000
 190.463	 0.689	H	0	0	 0.000
 191.152	 0.735	ISI	0	0	 0.000
 191.887	 0.355	croix	0	0	 0.000
 192.242	 0.669	Noir	0	0	 0.000
 192.911	 0.689	complex	1	0	 2147483.647
 193.600	 0.602	ISI	0	0	 0.000
 194.202	 0.334	croix	0	0	 0.000
 194.536	 0.689	Noir	0	0	 0.000
 195.225	 0.689	complex	1	0	 2147483.647
 195.914	 0.535	ISI	0	0	 0.000
 196.449	 0.334	croix	0	0	 0.000
 196.783	 0.689	Noir	0	0	 0.000
 197.472	 0.669	pseudocomplex	1	0	 2147483.647
 198.141	 0.622	ISI	0	0	 0.000
 198.763	 0.336	croix	0	0	 0.000
 199.099	 0.689	Noir	0	0	 0.000
 199.788	 0.668	complex	1	0	 2147483.647
 200.456	 0.689	ISI	0	0	 0.000
 201.145	 0.335	croix	0	0	 0.000
 201.480	 0.689	Noir	0	0	 0.000
 202.169	 0.668	H	0	0	 0.000
 202.837	 0.890	ISI	0	0	 0.000
 203.727	 0.334	croix	0	0	 0.000
 204.061	 0.689	Noir	0	0	 0.000
 204.750	 0.669	complex	1	0	 2147483.647
 205.419	 0.555	ISI	0	0	 0.000
 205.974	 0.335	croix	0	0	 0.000
 206.309	 0.689	Noir	0	0	 0.000
 206.998	 0.668	complex	1	0	 2147483.647
 207.666	 0.823	ISI	0	0	 0.000
 208.489	 0.335	croix	0	0	 0.000
 208.824	 0.688	Noir	0	0	 0.000
 209.512	 0.669	H	0	0	 0.000
 210.181	 1.024	ISI	0	0	 0.000
 211.205	 0.334	croix	0	0	 0.000
 211.539	 0.689	Noir	0	0	 0.000
 212.228	 0.669	complex	1	0	 2147483.647
 212.897	 0.689	ISI	0	0	 0.000
 213.586	 0.334	croix	0	0	 0.000
 213.920	 0.689	Noir	0	0	 0.000
 214.609	 0.669	complex	1	0	 2147483.647
 215.278	 0.689	ISI	0	0	 0.000
 215.967	 0.334	croix	0	0	 0.000
 216.301	 0.690	Noir	0	0	 0.000
 216.991	 0.669	complex	1	0	 2147483.647
 217.660	 0.555	ISI	0	0	 0.000
 218.215	 0.334	croix	0	0	 0.000
 218.549	 0.689	Noir	0	0	 0.000
 219.238	 0.669	pseudocomplex	1	0	 2147483.647
 219.907	 0.555	ISI	0	0	 0.000
 220.462	 0.335	croix	0	0	 0.000
 220.797	 0.669	Noir	0	0	 0.000
 221.466	 0.688	H	0	0	 0.000
 222.154	 0.536	ISI	0	0	 0.000
 222.690	 0.354	croix	0	0	 0.000
 223.044	 0.669	Noir	0	0	 0.000
 223.713	 0.689	pseudocomplex	1	0	 2147483.647
 224.402	 0.823	ISI	0	0	 0.000
 225.225	 0.334	croix	0	0	 0.000
 225.559	 0.669	Noir	0	0	 0.000
 226.228	 0.689	pseudocomplex	1	0	 2147483.647
 226.917	 0.889	ISI	0	0	 0.000
 227.806	 0.335	croix	0	0	 0.000
 228.141	 0.668	Noir	0	0	 0.000
 228.809	 0.689	complex	1	0	 2147483.647
 229.498	 0.622	ISI	0	0	 0.000
 230.120	 0.335	croix	0	0	 0.000
 230.455	 0.669	Noir	0	0	 0.000
 231.124	 0.689	H	0	0	 0.000
 231.813	 0.535	ISI	0	0	 0.000
 232.348	 0.354	croix	0	0	 0.000
 232.702	 0.669	Noir	0	0	 0.000
 233.371	 0.690	pseudocomplex	1	0	 2147483.647
 234.061	 0.669	ISI	0	0	 0.000
 234.730	 0.354	croix	0	0	 0.000
 235.084	 0.669	Noir	0	0	 0.000
 235.753	 0.689	pseudocomplex	1	0	 2147483.647
 236.442	 0.669	ISI	0	0	 0.000
 237.111	 0.354	croix	0	0	 0.000
 237.465	 0.669	Noir	0	0	 0.000
 238.134	 0.689	pseudocomplex	1	0	 2147483.647
 238.823	 0.669	ISI	0	0	 0.000
 239.492	 0.334	croix	0	0	 0.000
 239.826	 0.689	Noir	0	0	 0.000
 240.515	 0.689	H	0	0	 0.000
 241.204	 0.736	ISI	0	0	 0.000
 241.940	 0.334	croix	0	0	 0.000
 242.274	 0.689	Noir	0	0	 0.000
 242.963	 0.689	pseudocomplex	1	0	 2147483.647
 243.652	 0.602	ISI	0	0	 0.000
 244.254	 0.334	croix	0	0	 0.000
 244.588	 0.689	Noir	0	0	 0.000
 245.277	 0.669	complex	1	0	 2147483.647
 245.946	 0.555	ISI	0	0	 0.000
 246.501	 0.335	croix	0	0	 0.000
 246.836	 0.689	Noir	0	0	 0.000
 247.525	 0.668	H	0	0	 0.000
 248.193	 0.756	ISI	0	0	 0.000
 248.949	 0.335	croix	0	0	 0.000
 249.284	 0.689	Noir	0	0	 0.000
 249.973	 0.668	pseudocomplex	1	0	 2147483.647
 250.641	 0.622	ISI	0	0	 0.000
 251.263	 0.336	croix	0	0	 0.000
 251.599	 0.689	Noir	0	0	 0.000
 252.288	 0.669	complex	1	0	 2147483.647
 252.957	 0.622	ISI	0	0	 0.000
 253.579	 0.334	croix	0	0	 0.000
 253.913	 0.689	Noir	0	0	 0.000
 254.602	 0.669	complex	1	0	 2147483.647
 255.271	 0.622	ISI	0	0	 0.000
 255.893	 0.334	croix	0	0	 0.000
 256.227	 0.669	Noir	0	0	 0.000
 256.896	 0.689	H	0	0	 0.000
 257.585	 0.602	ISI	0	0	 0.000
 258.187	 0.354	croix	0	0	 0.000
 258.541	 0.669	Noir	0	0	 0.000
 259.210	 0.689	complex	1	0	 2147483.647
 259.899	 0.602	ISI	0	0	 0.000
 260.501	 0.355	croix	0	0	 0.000
 260.856	 0.668	Noir	0	0	 0.000
 261.524	 0.689	pseudocomplex	1	0	 2147483.647
 262.213	 0.602	ISI	0	0	 0.000
 262.815	 0.355	croix	0	0	 0.000
 263.170	 0.669	Noir	0	0	 0.000
 263.839	 0.689	H	0	0	 0.000
 264.528	 0.802	ISI	0	0	 0.000
 265.330	 0.355	croix	0	0	 0.000
 265.685	 0.668	Noir	0	0	 0.000
 266.353	 0.689	complex	1	0	 2147483.647
 267.042	 0.535	ISI	0	0	 0.000
 267.577	 0.335	croix	0	0	 0.000
 267.912	 0.689	Noir	0	0	 0.000
 268.601	 0.690	pseudocomplex	1	0	 2147483.647
 269.291	 0.535	ISI	0	0	 0.000
 269.826	 0.334	croix	0	0	 0.000
 270.160	 0.689	Noir	0	0	 0.000
 270.849	 0.669	H	0	0	 0.000
 271.518	 0.689	ISI	0	0	 0.000
 272.207	 0.334	croix	0	0	 0.000
 272.541	 0.689	Noir	0	0	 0.000
 273.230	 0.669	complex	1	0	 2147483.647
 273.899	 0.555	ISI	0	0	 0.000
 274.454	 0.335	croix	0	0	 0.000
 274.789	 0.688	Noir	0	0	 0.000
 275.477	 0.669	complex	1	0	 2147483.647
 276.146	 0.555	ISI	0	0	 0.000
 276.701	 0.335	croix	0	0	 0.000
 277.036	 0.669	Noir	0	0	 0.000
 277.705	 0.689	H	0	0	 0.000
 278.394	 0.689	ISI	0	0	 0.000
 279.083	 0.334	croix	0	0	 0.000
 279.417	 0.669	Noir	0	0	 0.000
 280.086	 0.689	complex	1	0	 2147483.647
 280.775	 0.822	ISI	0	0	 0.000
 281.597	 0.335	croix	0	0	 0.000
 281.932	 0.669	Noir	0	0	 0.000
 282.601	 0.689	complex	1	0	 2147483.647
 283.290	 0.688	ISI	0	0	 0.000
 283.978	 0.335	croix	0	0	 0.000
 284.313	 0.669	Noir	0	0	 0.000
 284.982	 0.689	complex	1	0	 2147483.647
 285.671	 0.602	ISI	0	0	 0.000
 286.273	 0.355	croix	0	0	 0.000
 286.628	 0.669	Noir	0	0	 0.000
 287.297	 0.689	pseudocomplex	1	0	 2147483.647
 287.986	 0.602	ISI	0	0	 0.000
 288.588	 0.354	croix	0	0	 0.000
 288.942	 0.669	Noir	0	0	 0.000
 289.611	 0.689	H	0	0	 0.000
 290.300	 0.669	ISI	0	0	 0.000
 290.969	 0.354	croix	0	0	 0.000
 291.323	 0.669	Noir	0	0	 0.000
 291.992	 0.689	complex	1	0	 2147483.647
 292.681	 0.936	ISI	0	0	 0.000
 293.617	 0.355	croix	0	0	 0.000
 293.972	 0.669	Noir	0	0	 0.000
 294.641	 0.689	pseudocomplex	1	0	 2147483.647
 295.330	 0.668	ISI	0	0	 0.000
 295.998	 0.355	croix	0	0	 0.000
 296.353	 0.669	Noir	0	0	 0.000
 297.022	 0.689	pseudocomplex	1	0	 2147483.647
 297.711	 1.357	ISI	0	0	 0.000
 299.068	 0.335	croix	0	0	 0.000
 299.403	 0.689	Noir	0	0	 0.000
 300.092	 0.669	pseudocomplex	1	0	 2147483.647
 300.761	 0.889	ISI	0	0	 0.000
 301.650	 0.335	croix	0	0	 0.000
 301.985	 0.688	Noir	0	0	 0.000
 302.673	 0.669	H	0	0	 0.000
 303.342	 1.158	ISI	0	0	 0.000
 304.500	 0.355	croix	0	0	 0.000
 304.855	 0.669	Noir	0	0	 0.000
 305.524	 0.689	complex	1	0	 2147483.647
 306.213	 0.602	ISI	0	0	 0.000
 306.815	 0.334	croix	0	0	 0.000
 307.149	 0.689	Noir	0	0	 0.000
 307.838	 0.689	pseudocomplex	1	0	 2147483.647
 308.527	 0.736	ISI	0	0	 0.000
 309.263	 0.334	croix	0	0	 0.000
 309.597	 0.689	Noir	0	0	 0.000
 310.286	 0.689	H	0	0	 0.000
 310.975	 0.535	ISI	0	0	 0.000
 311.510	 0.334	croix	0	0	 0.000
 311.844	 0.689	Noir	0	0	 0.000
 312.533	 0.669	complex	1	0	 2147483.647
