onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 4.073	Filler	0	0	 0.000
 4.073	 0.669	ISI	0	0	 0.000
 4.742	 0.354	croix	0	0	 0.000
 5.096	 0.669	noir	0	0	 0.000
 5.765	 0.689	pseudocomplex	1	0	 2147483.647
 6.454	 0.802	ISI	0	0	 0.000
 7.256	 0.355	croix	0	0	 0.000
 7.611	 0.669	noir	0	0	 0.000
 8.280	 0.689	H	0	0	 0.000
 8.969	 0.889	ISI	0	0	 0.000
 9.858	 0.335	croix	0	0	 0.000
 10.193	 0.670	noir	0	0	 0.000
 10.863	 0.688	complex	1	0	 2147483.647
 11.551	 0.536	ISI	0	0	 0.000
 12.087	 0.354	croix	0	0	 0.000
 12.441	 0.669	noir	0	0	 0.000
 13.110	 0.689	complex	1	0	 2147483.647
 13.799	 0.802	ISI	0	0	 0.000
 14.601	 0.355	croix	0	0	 0.000
 14.956	 0.669	noir	0	0	 0.000
 15.625	 0.689	H	0	0	 0.000
 16.314	 0.602	ISI	0	0	 0.000
 16.916	 0.354	croix	0	0	 0.000
 17.270	 0.669	noir	0	0	 0.000
 17.939	 0.689	complex	1	0	 2147483.647
 18.628	 0.602	ISI	0	0	 0.000
 19.230	 0.354	croix	0	0	 0.000
 19.584	 0.669	noir	0	0	 0.000
 20.253	 0.689	pseudocomplex	1	0	 2147483.647
 20.942	 0.803	ISI	0	0	 0.000
 21.745	 0.354	croix	0	0	 0.000
 22.099	 0.669	noir	0	0	 0.000
 22.768	 0.689	pseudocomplex	1	0	 2147483.647
 23.457	 0.535	ISI	0	0	 0.000
 23.992	 0.334	croix	0	0	 0.000
 24.326	 0.689	noir	0	0	 0.000
 25.015	 0.689	H	0	0	 0.000
 25.704	 0.602	ISI	0	0	 0.000
 26.306	 0.334	croix	0	0	 0.000
 26.640	 0.689	noir	0	0	 0.000
 27.329	 0.670	pseudocomplex	1	0	 2147483.647
 27.999	 0.756	ISI	0	0	 0.000
 28.755	 0.334	croix	0	0	 0.000
 29.089	 0.689	noir	0	0	 0.000
 29.778	 0.669	pseudocomplex	1	0	 2147483.647
 30.447	 0.555	ISI	0	0	 0.000
 31.002	 0.335	croix	0	0	 0.000
 31.337	 0.689	noir	0	0	 0.000
 32.026	 0.668	H	0	0	 0.000
 32.694	 0.756	ISI	0	0	 0.000
 33.450	 0.335	croix	0	0	 0.000
 33.785	 0.689	noir	0	0	 0.000
 34.474	 0.668	pseudocomplex	1	0	 2147483.647
 35.142	 0.622	ISI	0	0	 0.000
 35.764	 0.335	croix	0	0	 0.000
 36.099	 0.689	noir	0	0	 0.000
 36.788	 0.669	pseudocomplex	1	0	 2147483.647
 37.457	 0.689	ISI	0	0	 0.000
 38.146	 0.334	croix	0	0	 0.000
 38.480	 0.689	noir	0	0	 0.000
 39.169	 0.669	complex	1	0	 2147483.647
 39.838	 0.622	ISI	0	0	 0.000
 40.460	 0.334	croix	0	0	 0.000
 40.794	 0.669	noir	0	0	 0.000
 41.463	 0.689	H	0	0	 0.000
 42.152	 0.602	ISI	0	0	 0.000
 42.754	 0.354	croix	0	0	 0.000
 43.108	 0.669	noir	0	0	 0.000
 43.777	 0.689	complex	1	0	 2147483.647
 44.466	 0.669	ISI	0	0	 0.000
 45.135	 0.355	croix	0	0	 0.000
 45.490	 0.669	noir	0	0	 0.000
 46.159	 0.689	pseudocomplex	1	0	 2147483.647
 46.848	 0.535	ISI	0	0	 0.000
 47.383	 0.355	croix	0	0	 0.000
 47.738	 0.669	noir	0	0	 0.000
 48.407	 0.688	H	0	0	 0.000
 49.095	 0.536	ISI	0	0	 0.000
 49.631	 0.334	croix	0	0	 0.000
 49.965	 0.689	noir	0	0	 0.000
 50.654	 0.669	pseudocomplex	1	0	 2147483.647
 51.323	 0.889	ISI	0	0	 0.000
 52.212	 0.335	croix	0	0	 0.000
 52.547	 0.689	noir	0	0	 0.000
 53.236	 0.689	pseudocomplex	1	0	 2147483.647
 53.925	 0.668	ISI	0	0	 0.000
 54.593	 0.335	croix	0	0	 0.000
 54.928	 0.689	noir	0	0	 0.000
 55.617	 0.689	complex	1	0	 2147483.647
 56.306	 0.602	ISI	0	0	 0.000
 56.908	 0.334	croix	0	0	 0.000
 57.242	 0.689	noir	0	0	 0.000
 57.931	 0.669	complex	1	0	 2147483.647
 58.600	 0.555	ISI	0	0	 0.000
 59.155	 0.334	croix	0	0	 0.000
 59.489	 0.689	noir	0	0	 0.000
 60.178	 0.669	H	0	0	 0.000
 60.847	 0.555	ISI	0	0	 0.000
 61.402	 0.335	croix	0	0	 0.000
 61.737	 0.688	noir	0	0	 0.000
 62.425	 0.670	complex	1	0	 2147483.647
 63.095	 0.689	ISI	0	0	 0.000
 63.784	 0.335	croix	0	0	 0.000
 64.119	 0.668	noir	0	0	 0.000
 64.787	 0.689	pseudocomplex	1	0	 2147483.647
 65.476	 0.622	ISI	0	0	 0.000
 66.098	 0.335	croix	0	0	 0.000
 66.433	 0.669	noir	0	0	 0.000
 67.102	 0.689	pseudocomplex	1	0	 2147483.647
 67.791	 0.601	ISI	0	0	 0.000
 68.392	 0.355	croix	0	0	 0.000
 68.747	 0.669	noir	0	0	 0.000
 69.416	 0.689	H	0	0	 0.000
 70.105	 0.669	ISI	0	0	 0.000
 70.774	 0.354	croix	0	0	 0.000
 71.128	 0.669	noir	0	0	 0.000
 71.797	 0.689	complex	1	0	 2147483.647
 72.486	 0.669	ISI	0	0	 0.000
 73.155	 0.354	croix	0	0	 0.000
 73.509	 0.669	noir	0	0	 0.000
 74.178	 0.689	complex	1	0	 2147483.647
 74.867	 1.558	ISI	0	0	 0.000
 76.425	 0.335	croix	0	0	 0.000
 76.760	 0.689	noir	0	0	 0.000
 77.449	 0.668	pseudocomplex	1	0	 2147483.647
 78.117	 0.689	ISI	0	0	 0.000
 78.806	 0.335	croix	0	0	 0.000
 79.141	 0.689	noir	0	0	 0.000
 79.830	 0.669	H	0	0	 0.000
 80.499	 0.556	ISI	0	0	 0.000
 81.055	 0.334	croix	0	0	 0.000
 81.389	 0.689	noir	0	0	 0.000
 82.078	 0.669	pseudocomplex	1	0	 2147483.647
 82.747	 0.555	ISI	0	0	 0.000
 83.302	 0.334	croix	0	0	 0.000
 83.636	 0.669	noir	0	0	 0.000
 84.305	 0.689	pseudocomplex	1	0	 2147483.647
 84.994	 0.689	ISI	0	0	 0.000
 85.683	 0.334	croix	0	0	 0.000
 86.017	 0.669	noir	0	0	 0.000
 86.686	 0.689	H	0	0	 0.000
 87.375	 0.602	ISI	0	0	 0.000
 87.977	 0.355	croix	0	0	 0.000
 88.332	 0.668	noir	0	0	 0.000
 89.000	 0.689	complex	1	0	 2147483.647
 89.689	 0.602	ISI	0	0	 0.000
 90.291	 0.355	croix	0	0	 0.000
 90.646	 0.669	noir	0	0	 0.000
 91.315	 0.689	pseudocomplex	1	0	 2147483.647
 92.004	 0.535	ISI	0	0	 0.000
 92.539	 0.334	croix	0	0	 0.000
 92.873	 0.689	noir	0	0	 0.000
 93.562	 0.689	pseudocomplex	1	0	 2147483.647
 94.251	 0.669	ISI	0	0	 0.000
 94.920	 0.334	croix	0	0	 0.000
 95.254	 0.689	noir	0	0	 0.000
 95.943	 0.669	complex	1	0	 2147483.647
 96.612	 0.756	ISI	0	0	 0.000
 97.368	 0.334	croix	0	0	 0.000
 97.702	 0.690	noir	0	0	 0.000
 98.392	 0.669	H	0	0	 0.000
 99.061	 0.756	ISI	0	0	 0.000
 99.817	 0.334	croix	0	0	 0.000
 100.151	 0.689	noir	0	0	 0.000
 100.840	 0.669	complex	1	0	 2147483.647
 101.509	 0.622	ISI	0	0	 0.000
 102.131	 0.334	croix	0	0	 0.000
 102.465	 0.689	noir	0	0	 0.000
 103.154	 0.669	complex	1	0	 2147483.647
 103.823	 0.622	ISI	0	0	 0.000
 104.445	 0.334	croix	0	0	 0.000
 104.779	 0.689	noir	0	0	 0.000
 105.468	 0.669	complex	1	0	 2147483.647
 106.137	 0.823	ISI	0	0	 0.000
 106.960	 0.334	croix	0	0	 0.000
 107.294	 0.689	noir	0	0	 0.000
 107.983	 0.669	H	0	0	 0.000
 108.652	 0.622	ISI	0	0	 0.000
 109.274	 0.334	croix	0	0	 0.000
 109.608	 0.689	noir	0	0	 0.000
 110.297	 0.669	complex	1	0	 2147483.647
 110.966	 0.823	ISI	0	0	 0.000
 111.789	 0.334	croix	0	0	 0.000
 112.123	 0.689	noir	0	0	 0.000
 112.812	 0.669	complex	1	0	 2147483.647
 113.481	 0.555	ISI	0	0	 0.000
 114.036	 0.335	croix	0	0	 0.000
 114.371	 0.689	noir	0	0	 0.000
 115.060	 0.669	pseudocomplex	1	0	 2147483.647
 115.729	 0.622	ISI	0	0	 0.000
 116.351	 0.335	croix	0	0	 0.000
 116.686	 0.669	noir	0	0	 0.000
 117.355	 0.688	H	0	0	 0.000
 118.043	 0.756	ISI	0	0	 0.000
 118.799	 0.335	croix	0	0	 0.000
 119.134	 0.669	noir	0	0	 0.000
 119.803	 0.688	pseudocomplex	1	0	 2147483.647
 120.491	 0.756	ISI	0	0	 0.000
 121.247	 0.335	croix	0	0	 0.000
 121.582	 0.668	noir	0	0	 0.000
 122.250	 0.689	pseudocomplex	1	0	 2147483.647
 122.939	 0.602	ISI	0	0	 0.000
 123.541	 0.355	croix	0	0	 0.000
 123.896	 0.669	noir	0	0	 0.000
 124.565	 0.689	H	0	0	 0.000
 125.254	 0.601	ISI	0	0	 0.000
 125.855	 0.355	croix	0	0	 0.000
 126.210	 0.669	noir	0	0	 0.000
 126.879	 0.689	pseudocomplex	1	0	 2147483.647
 127.568	 0.602	ISI	0	0	 0.000
 128.170	 0.354	croix	0	0	 0.000
 128.524	 0.669	noir	0	0	 0.000
 129.193	 0.689	pseudocomplex	1	0	 2147483.647
 129.882	 0.602	ISI	0	0	 0.000
 130.484	 0.334	croix	0	0	 0.000
 130.818	 0.689	noir	0	0	 0.000
 131.507	 0.689	pseudocomplex	1	0	 2147483.647
 132.196	 0.871	ISI	0	0	 0.000
 133.067	 0.354	croix	0	0	 0.000
 133.421	 0.669	noir	0	0	 0.000
 134.090	 0.689	H	0	0	 0.000
 134.779	 0.936	ISI	0	0	 0.000
 135.715	 0.355	croix	0	0	 0.000
 136.070	 0.669	noir	0	0	 0.000
 136.739	 0.688	pseudocomplex	1	0	 2147483.647
 137.427	 0.602	ISI	0	0	 0.000
 138.029	 0.355	croix	0	0	 0.000
 138.384	 0.669	noir	0	0	 0.000
 139.053	 0.689	complex	1	0	 2147483.647
 139.742	 0.535	ISI	0	0	 0.000
 140.277	 0.334	croix	0	0	 0.000
 140.611	 0.689	noir	0	0	 0.000
 141.300	 0.689	pseudocomplex	1	0	 2147483.647
 141.989	 0.602	ISI	0	0	 0.000
 142.591	 0.334	croix	0	0	 0.000
 142.925	 0.689	noir	0	0	 0.000
 143.614	 0.669	complex	1	0	 2147483.647
 144.283	 0.756	ISI	0	0	 0.000
 145.039	 0.334	croix	0	0	 0.000
 145.373	 0.689	noir	0	0	 0.000
 146.062	 0.669	pseudocomplex	1	0	 2147483.647
 146.731	 0.555	ISI	0	0	 0.000
 147.286	 0.335	croix	0	0	 0.000
 147.621	 0.689	noir	0	0	 0.000
 148.310	 0.668	complex	1	0	 2147483.647
 148.978	 0.756	ISI	0	0	 0.000
 149.734	 0.335	croix	0	0	 0.000
 150.069	 0.689	noir	0	0	 0.000
 150.758	 0.669	H	0	0	 0.000
 151.427	 0.555	ISI	0	0	 0.000
 151.982	 0.335	croix	0	0	 0.000
 152.317	 0.689	noir	0	0	 0.000
 153.006	 0.669	complex	1	0	 2147483.647
 153.675	 0.555	ISI	0	0	 0.000
 154.230	 0.334	croix	0	0	 0.000
 154.564	 0.669	noir	0	0	 0.000
 155.233	 0.689	complex	1	0	 2147483.647
 155.922	 0.535	ISI	0	0	 0.000
 156.457	 0.354	croix	0	0	 0.000
 156.811	 0.669	noir	0	0	 0.000
 157.480	 0.689	complex	1	0	 2147483.647
 158.169	 0.803	ISI	0	0	 0.000
 158.972	 0.354	croix	0	0	 0.000
 159.326	 0.669	noir	0	0	 0.000
 159.995	 0.689	complex	1	0	 2147483.647
 160.684	 0.957	ISI	0	0	 0.000
 161.641	 0.334	croix	0	0	 0.000
 161.975	 0.669	noir	0	0	 0.000
 162.644	 0.689	pseudocomplex	1	0	 2147483.647
 163.333	 0.755	ISI	0	0	 0.000
 164.088	 0.335	croix	0	0	 0.000
 164.423	 0.669	noir	0	0	 0.000
 165.092	 0.689	complex	1	0	 2147483.647
 165.781	 0.689	ISI	0	0	 0.000
 166.470	 0.334	croix	0	0	 0.000
 166.804	 0.669	noir	0	0	 0.000
 167.473	 0.690	H	0	0	 0.000
 168.163	 0.535	ISI	0	0	 0.000
 168.698	 0.354	croix	0	0	 0.000
 169.052	 0.669	noir	0	0	 0.000
 169.721	 0.689	pseudocomplex	1	0	 2147483.647
 170.410	 1.157	ISI	0	0	 0.000
 171.567	 0.334	croix	0	0	 0.000
 171.901	 0.689	noir	0	0	 0.000
 172.590	 0.669	pseudocomplex	1	0	 2147483.647
 173.259	 0.689	ISI	0	0	 0.000
 173.948	 0.335	croix	0	0	 0.000
 174.283	 0.668	noir	0	0	 0.000
 174.951	 0.689	complex	1	0	 2147483.647
 175.640	 0.756	ISI	0	0	 0.000
 176.396	 0.335	croix	0	0	 0.000
 176.731	 0.668	noir	0	0	 0.000
 177.399	 0.689	complex	1	0	 2147483.647
 178.088	 0.622	ISI	0	0	 0.000
 178.710	 0.335	croix	0	0	 0.000
 179.045	 0.668	noir	0	0	 0.000
 179.713	 0.689	H	0	0	 0.000
 180.402	 0.823	ISI	0	0	 0.000
 181.225	 0.335	croix	0	0	 0.000
 181.560	 0.668	noir	0	0	 0.000
 182.228	 0.689	complex	1	0	 2147483.647
 182.917	 0.890	ISI	0	0	 0.000
 183.807	 0.334	croix	0	0	 0.000
 184.141	 0.689	noir	0	0	 0.000
 184.830	 0.670	pseudocomplex	1	0	 2147483.647
 185.500	 0.689	ISI	0	0	 0.000
 186.189	 0.334	croix	0	0	 0.000
 186.523	 0.669	noir	0	0	 0.000
 187.192	 0.689	complex	1	0	 2147483.647
 187.881	 0.823	ISI	0	0	 0.000
 188.704	 0.334	croix	0	0	 0.000
 189.038	 0.689	noir	0	0	 0.000
 189.727	 0.669	H	0	0	 0.000
 190.396	 0.689	ISI	0	0	 0.000
 191.085	 0.334	croix	0	0	 0.000
 191.419	 0.669	noir	0	0	 0.000
 192.088	 0.689	pseudocomplex	1	0	 2147483.647
 192.777	 0.689	ISI	0	0	 0.000
 193.466	 0.334	croix	0	0	 0.000
 193.800	 0.669	noir	0	0	 0.000
 194.469	 0.689	pseudocomplex	1	0	 2147483.647
 195.158	 0.602	ISI	0	0	 0.000
 195.760	 0.354	croix	0	0	 0.000
 196.114	 0.669	noir	0	0	 0.000
 196.783	 0.689	complex	1	0	 2147483.647
 197.472	 0.535	ISI	0	0	 0.000
 198.007	 0.355	croix	0	0	 0.000
 198.362	 0.669	noir	0	0	 0.000
 199.031	 0.689	complex	1	0	 2147483.647
 199.720	 0.601	ISI	0	0	 0.000
 200.321	 0.335	croix	0	0	 0.000
 200.656	 0.689	noir	0	0	 0.000
 201.345	 0.689	H	0	0	 0.000
 202.034	 0.535	ISI	0	0	 0.000
 202.569	 0.335	croix	0	0	 0.000
 202.904	 0.689	noir	0	0	 0.000
 203.593	 0.669	complex	1	0	 2147483.647
 204.262	 0.756	ISI	0	0	 0.000
 205.018	 0.334	croix	0	0	 0.000
 205.352	 0.689	noir	0	0	 0.000
 206.041	 0.669	complex	1	0	 2147483.647
 206.710	 0.622	ISI	0	0	 0.000
 207.332	 0.334	croix	0	0	 0.000
 207.666	 0.689	noir	0	0	 0.000
 208.355	 0.669	complex	1	0	 2147483.647
 209.024	 0.756	ISI	0	0	 0.000
 209.780	 0.334	croix	0	0	 0.000
 210.114	 0.689	noir	0	0	 0.000
 210.803	 0.669	H	0	0	 0.000
 211.472	 0.555	ISI	0	0	 0.000
 212.027	 0.335	croix	0	0	 0.000
 212.362	 0.689	noir	0	0	 0.000
 213.051	 0.668	pseudocomplex	1	0	 2147483.647
 213.719	 0.689	ISI	0	0	 0.000
 214.408	 0.335	croix	0	0	 0.000
 214.743	 0.689	noir	0	0	 0.000
 215.432	 0.668	pseudocomplex	1	0	 2147483.647
 216.100	 0.823	ISI	0	0	 0.000
 216.923	 0.334	croix	0	0	 0.000
 217.257	 0.689	noir	0	0	 0.000
 217.946	 0.669	pseudocomplex	1	0	 2147483.647
 218.615	 0.823	ISI	0	0	 0.000
 219.438	 0.334	croix	0	0	 0.000
 219.772	 0.690	noir	0	0	 0.000
 220.462	 0.669	complex	1	0	 2147483.647
 221.131	 0.890	ISI	0	0	 0.000
 222.021	 0.334	croix	0	0	 0.000
 222.355	 0.689	noir	0	0	 0.000
 223.044	 0.669	H	0	0	 0.000
 223.713	 0.622	ISI	0	0	 0.000
 224.335	 0.334	croix	0	0	 0.000
 224.669	 0.689	noir	0	0	 0.000
 225.358	 0.669	pseudocomplex	1	0	 2147483.647
 226.027	 0.622	ISI	0	0	 0.000
 226.649	 0.334	croix	0	0	 0.000
 226.983	 0.689	noir	0	0	 0.000
 227.672	 0.669	pseudocomplex	1	0	 2147483.647
 228.341	 0.555	ISI	0	0	 0.000
 228.896	 0.335	croix	0	0	 0.000
 229.231	 0.669	noir	0	0	 0.000
 229.900	 0.688	pseudocomplex	1	0	 2147483.647
 230.588	 1.158	ISI	0	0	 0.000
 231.746	 0.334	croix	0	0	 0.000
 232.080	 0.689	noir	0	0	 0.000
 232.769	 0.669	H	0	0	 0.000
 233.438	 0.689	ISI	0	0	 0.000
 234.127	 0.334	croix	0	0	 0.000
 234.461	 0.689	noir	0	0	 0.000
 235.150	 0.669	pseudocomplex	1	0	 2147483.647
 235.819	 0.956	ISI	0	0	 0.000
 236.775	 0.335	croix	0	0	 0.000
 237.110	 0.690	noir	0	0	 0.000
 237.800	 0.668	pseudocomplex	1	0	 2147483.647
 238.468	 0.689	ISI	0	0	 0.000
 239.157	 0.335	croix	0	0	 0.000
 239.492	 0.689	noir	0	0	 0.000
 240.181	 0.668	pseudocomplex	1	0	 2147483.647
 240.849	 0.689	ISI	0	0	 0.000
 241.538	 0.335	croix	0	0	 0.000
 241.873	 0.689	noir	0	0	 0.000
 242.562	 0.669	H	0	0	 0.000
 243.231	 0.622	ISI	0	0	 0.000
 243.853	 0.334	croix	0	0	 0.000
 244.187	 0.689	noir	0	0	 0.000
 244.876	 0.669	pseudocomplex	1	0	 2147483.647
 245.545	 0.622	ISI	0	0	 0.000
 246.167	 0.334	croix	0	0	 0.000
 246.501	 0.669	noir	0	0	 0.000
 247.170	 0.689	complex	1	0	 2147483.647
 247.859	 0.622	ISI	0	0	 0.000
 248.481	 0.334	croix	0	0	 0.000
 248.815	 0.669	noir	0	0	 0.000
 249.484	 0.689	pseudocomplex	1	0	 2147483.647
 250.173	 0.602	ISI	0	0	 0.000
 250.775	 0.355	croix	0	0	 0.000
 251.130	 0.668	noir	0	0	 0.000
 251.798	 0.689	complex	1	0	 2147483.647
 252.487	 0.602	ISI	0	0	 0.000
 253.089	 0.355	croix	0	0	 0.000
 253.444	 0.669	noir	0	0	 0.000
 254.113	 0.689	H	0	0	 0.000
 254.802	 0.602	ISI	0	0	 0.000
 255.404	 0.335	croix	0	0	 0.000
 255.739	 0.689	noir	0	0	 0.000
 256.428	 0.689	complex	1	0	 2147483.647
 257.117	 0.535	ISI	0	0	 0.000
 257.652	 0.334	croix	0	0	 0.000
 257.986	 0.689	noir	0	0	 0.000
 258.675	 0.669	complex	1	0	 2147483.647
 259.344	 0.622	ISI	0	0	 0.000
 259.966	 0.334	croix	0	0	 0.000
 260.300	 0.689	noir	0	0	 0.000
 260.989	 0.669	H	0	0	 0.000
 261.658	 0.890	ISI	0	0	 0.000
 262.548	 0.334	croix	0	0	 0.000
 262.882	 0.689	noir	0	0	 0.000
 263.571	 0.669	pseudocomplex	1	0	 2147483.647
 264.240	 0.622	ISI	0	0	 0.000
 264.862	 0.334	croix	0	0	 0.000
 265.196	 0.689	noir	0	0	 0.000
 265.885	 0.669	H	0	0	 0.000
 266.554	 0.555	ISI	0	0	 0.000
 267.109	 0.335	croix	0	0	 0.000
 267.444	 0.689	noir	0	0	 0.000
 268.133	 0.668	pseudocomplex	1	0	 2147483.647
 268.801	 0.689	ISI	0	0	 0.000
 269.490	 0.335	croix	0	0	 0.000
 269.825	 0.689	noir	0	0	 0.000
 270.514	 0.668	pseudocomplex	1	0	 2147483.647
 271.182	 0.890	ISI	0	0	 0.000
 272.072	 0.334	croix	0	0	 0.000
 272.406	 0.690	noir	0	0	 0.000
 273.096	 0.669	pseudocomplex	1	0	 2147483.647
 273.765	 1.224	ISI	0	0	 0.000
 274.989	 0.334	croix	0	0	 0.000
 275.323	 0.689	noir	0	0	 0.000
 276.012	 0.689	pseudocomplex	1	0	 2147483.647
 276.701	 0.736	ISI	0	0	 0.000
 277.437	 0.334	croix	0	0	 0.000
 277.771	 0.689	noir	0	0	 0.000
 278.460	 0.689	H	0	0	 0.000
 279.149	 0.535	ISI	0	0	 0.000
 279.684	 0.335	croix	0	0	 0.000
 280.019	 0.689	noir	0	0	 0.000
 280.708	 0.668	complex	1	0	 2147483.647
 281.376	 0.623	ISI	0	0	 0.000
 281.999	 0.334	croix	0	0	 0.000
 282.333	 0.689	noir	0	0	 0.000
 283.022	 0.669	pseudocomplex	1	0	 2147483.647
 283.691	 0.756	ISI	0	0	 0.000
 284.447	 0.334	croix	0	0	 0.000
 284.781	 0.689	noir	0	0	 0.000
 285.470	 0.669	complex	1	0	 2147483.647
 286.139	 0.755	ISI	0	0	 0.000
 286.894	 0.335	croix	0	0	 0.000
 287.229	 0.689	noir	0	0	 0.000
 287.918	 0.669	H	0	0	 0.000
 288.587	 0.622	ISI	0	0	 0.000
 289.209	 0.334	croix	0	0	 0.000
 289.543	 0.690	noir	0	0	 0.000
 290.233	 0.669	complex	1	0	 2147483.647
 290.902	 0.756	ISI	0	0	 0.000
 291.658	 0.334	croix	0	0	 0.000
 291.992	 0.689	noir	0	0	 0.000
 292.681	 0.669	H	0	0	 0.000
 293.350	 0.689	ISI	0	0	 0.000
 294.039	 0.334	croix	0	0	 0.000
 294.373	 0.689	noir	0	0	 0.000
 295.062	 0.669	complex	1	0	 2147483.647
 295.731	 0.622	ISI	0	0	 0.000
 296.353	 0.334	croix	0	0	 0.000
 296.687	 0.669	noir	0	0	 0.000
 297.356	 0.689	complex	1	0	 2147483.647
 298.045	 0.535	ISI	0	0	 0.000
 298.580	 0.355	croix	0	0	 0.000
 298.935	 0.668	noir	0	0	 0.000
 299.603	 0.689	pseudocomplex	1	0	 2147483.647
 300.292	 0.736	ISI	0	0	 0.000
 301.028	 0.355	croix	0	0	 0.000
 301.383	 0.668	noir	0	0	 0.000
 302.051	 0.689	H	0	0	 0.000
 302.740	 0.669	ISI	0	0	 0.000
 303.409	 0.355	croix	0	0	 0.000
 303.764	 0.668	noir	0	0	 0.000
 304.432	 0.689	complex	1	0	 2147483.647
 305.121	 0.669	ISI	0	0	 0.000
 305.790	 0.355	croix	0	0	 0.000
 306.145	 0.668	noir	0	0	 0.000
 306.813	 0.689	H	0	0	 0.000
 307.502	 0.737	ISI	0	0	 0.000
 308.239	 0.355	croix	0	0	 0.000
 308.594	 0.668	noir	0	0	 0.000
 309.262	 0.689	complex	1	0	 2147483.647
 309.951	 0.602	ISI	0	0	 0.000
 310.553	 0.355	croix	0	0	 0.000
 310.908	 0.669	noir	0	0	 0.000
 311.577	 0.689	complex	1	0	 2147483.647
 312.266	 0.535	ISI	0	0	 0.000
 312.801	 0.334	croix	0	0	 0.000
 313.135	 0.689	noir	0	0	 0.000
 313.824	 0.669	H	0	0	 0.000
 314.493	 0.555	ISI	0	0	 0.000
